code,description,warehouse_id,zone_id,x,y
A001,Bin 1,1,1,76,80
A002,Bin 2,1,1,102,80
A003,Bin 3,1,1,128,80
A004,Bin 4,1,1,154,80
A005,Bin 5,1,1,180,80
A006,Bin 6,1,1,206,80
A007,Bin 7,1,1,232,80
A008,Bin 8,1,1,258,80
A009,Bin 9,1,1,282,80
A010,Bin 10,1,1,308,80
A011,Bin 11,1,1,334,80
A012,Bin 12,1,1,360,80
A013,Bin 13,1,1,386,80
A014,Bin 14,1,1,412,80
A015,Bin 15,1,1,438,80
A016,Bin 16,1,1,464,80
A017,Bin 17,1,1,490,80
A018,Bin 18,1,1,516,80
A019,Bin 19,1,1,542,80
A020,Bin 20,1,1,568,80
A021,Bin 21,1,1,594,80
A022,Bin 22,1,1,620,80
A023,Bin 23,1,1,646,80
A024,Bin 24,1,1,672,80
A025,Bin 25,1,1,698,80
A026,Bin 26,1,1,76,134
A027,Bin 27,1,1,102,134
A028,Bin 28,1,1,128,134
A029,Bin 29,1,1,154,134
A030,Bin 30,1,1,180,134
A031,Bin 31,1,1,206,134
A032,Bin 32,1,1,232,134
A033,Bin 33,1,1,258,134
A034,Bin 34,1,1,282,134
A035,Bin 35,1,1,308,134
A036,Bin 36,1,1,334,134
A037,Bin 37,1,1,360,134
A038,Bin 38,1,1,386,134
A039,Bin 39,1,1,412,134
A040,Bin 40,1,1,438,134
A041,Bin 41,1,1,464,134
A042,Bin 42,1,1,490,134
A043,Bin 43,1,1,516,134
A044,Bin 44,1,1,542,134
A045,Bin 45,1,1,568,134
A046,Bin 46,1,1,594,134
A047,Bin 47,1,1,620,134
A048,Bin 48,1,1,646,134
A049,Bin 49,1,1,672,134
A050,Bin 50,1,1,698,134
A051,Bin 51,1,2,76,188
A052,Bin 52,1,2,102,188
A053,Bin 53,1,2,128,188
A054,Bin 54,1,2,154,188
A055,Bin 55,1,2,180,188
A056,Bin 56,1,2,206,188
A057,Bin 57,1,2,232,188
A058,Bin 58,1,2,258,188
A059,Bin 59,1,2,282,188
A060,Bin 60,1,2,308,188
A061,Bin 61,1,2,334,188
A062,Bin 62,1,2,360,188
A063,Bin 63,1,2,386,188
A064,Bin 64,1,2,412,188
A065,Bin 65,1,2,438,188
A066,Bin 66,1,2,464,188
A067,Bin 67,1,2,490,188
A068,Bin 68,1,2,516,188
A069,Bin 69,1,2,542,188
A070,Bin 70,1,2,568,188
A071,Bin 71,1,2,594,188
A072,Bin 72,1,2,620,188
A073,Bin 73,1,2,646,188
A074,Bin 74,1,2,672,188
A075,Bin 75,1,2,698,188
A076,Bin 76,1,3,76,242
A077,Bin 77,1,3,102,242
A078,Bin 78,1,3,128,242
A079,Bin 79,1,3,154,242
A080,Bin 80,1,3,180,242
A081,Bin 81,1,3,206,242
A082,Bin 82,1,3,232,242
A083,Bin 83,1,3,258,242
A084,Bin 84,1,3,282,242
A085,Bin 85,1,3,308,242
A086,Bin 86,1,3,334,242
A087,Bin 87,1,3,360,242
A088,Bin 88,1,3,386,242
A089,Bin 89,1,3,412,242
A090,Bin 90,1,3,438,242
A091,Bin 91,1,3,464,242
A092,Bin 92,1,3,490,242
A093,Bin 93,1,3,516,242
A094,Bin 94,1,3,542,242
A095,Bin 95,1,3,568,242
A096,Bin 96,1,3,594,242
A097,Bin 97,1,3,620,242
A098,Bin 98,1,3,646,242
A099,Bin 99,1,3,672,242
A100,Bin 100,1,4,698,242
