code,name,address,email_address,contact_person
SUP00000001,FERM INC,"Ortigas Ave., Pasig, Metro Manila, Philippines",fermc@gmail.com,Mr. Fernc
SUP00000002,PT. Kino Indonesia,"Jakarta, Indonesia",kino@gmail.com,Mrs. Kino
SUP00000003,GlaxoSmithKline,"City of Makati, Philippines",GlaxoSmithKline@gmail.com,Mr. GlaxoSmithKline
SUP00000004,The ROGEMSON Co Inc,"Quezon City, Metro Manila, Philippines",rogemson@gmail.com,Mr. Rogemson
SUP00000005,Johnson and Johnson,"Paranaque, Philippines",jj@gmail.com,Mr. Johnson
SUP00000006,MGM INDUSTRY CO,Pasig City,mgm@gmail.com,Mr. Mgm
SUP00000007,Unilever,"Paco, Manila",unilever@gmail.com,Mr. Unilever
SUP00000008,GREENCROSS INCORPORATED,"Paranaque, Philippines",green@gmail.com,Mr. green
SUP00000009,"CENTURY PACIFIC FOOD, INC","Binan, Laguna, Philippines",century@gmail.com,Mr. Century
SUP00000010,NESTLE PHILIPPINES INC,"Makati, Philippines",nestle@gmail.com,Mrs. Nestle
SUP00000011,RFM CORPORATION,"Mandaluyong, Metro Manila, Philippines",rfm@gmail.com,Mr. Rfm
SUP00000012,Arla Foods Corporation,"Makati, Philippines",arla@gmail.com,Mr. Arla
SUP00000013,Ecossential Foods Corporation,"Mandaue City, Cebu, Philippines",ecossential@gmail.com,Mr. Ecossentia
SUP00000014,"Procter & Gamble Philippines, Inc","Cabuyao, Laguna, Philippines",pandg@gmail.com,Mr. Gamble
